ID	Price	Diện tích (m2)	Latitude	Longitude	Cơ sở - tiện tích	Số phòng
1362	2.163323025660538	4.174387269895637	21.007864650000002	105.8506528	1	8.0
514	1.252762968495368	3.091042453358316	21.0165804	105.84553955	1	10.0
376	2.803360380906535	3.871201010907891	20.8711952	106.6411591	2	7.0
2103	1.7578579175523736	4.59511985013459	10.8484219	106.7769278	2	7.0
1419	2.6390573296152584	3.4965075614664802	21.0015571	105.8160006	2	7.0
414	2.1162555148025524	3.7376696182833684	10.791610299999999	106.6693757	1	8.0
1091	1.0818051703517284	4.0943445622221	10.9727519	106.7399062	2	8.0
40	1.0296194171811581	4.127134385045092	11.0028099	106.7385562	1	5.0
2013	1.7227665977411035	3.4011973816621555	10.8002045	106.6813247	2	4.0
2227	2.3589654264301534	4.553876891600541	11.0777671	106.6839398	1	8.0
1695	2.917770732084279	3.6635616461296463	21.0090989	105.8564286	1	7.0
362	1.667706820558076	4.605170185988092	10.8021515	106.6214626	1	8.0
1865	1.4350845252893227	4.406719247264253	21.01747225	105.79364720000001	1	16.0
742	1.3217558399823195	4.31748811353631	10.8146132	106.6978649	2	6.0
2069	1.8562979903656263	3.6888794541139363	10.7990535	106.6953093	2	7.0
1577	2.6100697927420065	4.248495242049359	10.78215235	106.59674985000001	1	8.0
199	1.8562979903656263	3.4657359027997265	21.0256221	105.7677817	1	8.0
1538	1.824549292051046	4.812184355372417	10.980047200000001	106.8474191	2	5.0
868	1.589235205116581	4.499809670330265	10.927863	106.8136074	1	6.0
1090	1.9600947840472698	3.4965075614664802	10.7740027	106.6485473	3	8.0
2292	1.5303947050936475	3.6888794541139363	10.8027356	106.6857185	2	9.0
2132	2.272125885509337	4.382026634673881	21.0365843	105.8783278	1	9.0
529	1.8718021769015913	4.394449154672439	10.7557364	106.6484901	3	11.0
755	1.0986122886681098	4.007333185232471	16.0592935	108.1947537	2	4.0
2121	2.3978952727983707	4.624972813284271	10.84804495	106.7169968	2	8.0
707	2.302585092994046	4.605170185988092	10.961375	106.792792	2	5.0
879	1.1600209167967532	3.332204510175204	10.8498131	106.664969	1	4.0
2002	0.5306282510621704	4.969813299576001	10.9627796	106.8871951	1	8.0
1094	1.252762968495368	4.605170185988092	10.8185733	106.7049768	2	11.0
340	1.916922612182061	3.871201010907891	11.5323014	106.8999721	1	8.0
684	1.410986973710262	3.4011973816621555	10.8001147	106.63275035	2	6.0
748	1.7047480922384253	3.6888794541139363	10.7427338	106.7101246	1	6.0
995	1.5260563034950492	3.8501476017100584	10.8466384	106.65412645	1	7.0
943	1.5040773967762742	4.74493212836325	10.852675999999999	106.680102	2	8.0
1086	0.9932517730102834	3.7376696182833684	10.8122907	106.6261831	1	4.0
2030	2.322387720290225	3.6888794541139363	20.9477501	105.84994660000001	1	8.0
610	1.6054298910365616	4.07753744390572	10.63256055	106.5059019	1	8.0
1620	3.044522437723423	5.225746673713202	10.8265841	106.7619652	1	4.0
