ID	Cluster	Log price (1 billion VND)	Log area (square meters)	Log usable area (square meters)	Rooms	Bedrooms	WC	Number of floors	Parking	For rent	Facade	Infrastructure	Features	Latitude	Longitude	Distance to center	Log usable area cat
1631	3	0.09531017980432493	3.912023005428146	3.912023005428146	3.0	2.0	1.0	1.0	0	0	0	0	0	21.0509388	105.8428491	4.625565284693863	2
1632	4	2.2192034840549946	4.1588830833596715	5.545177444479562	6.0	3.0	3.0	4.0	1	0	0	1	2	11.9526576	108.4297988	62.70646788677053	3
1633	2	0.6418538861723947	4.605170185988092	5.298317366548036	5.0	3.0	2.0	2.0	0	0	0	0	0	16.4363239	107.5779911	64.57882351935287	3
1634	1	0.25464221837358075	5.017279836814924	5.48728346606066	8.0	4.0	4.0	1.0	1	0	0	0	1	9.9999013	105.7657824	134.5775955099199	3
1635	1	0.8285518175661483	4.584967478670572	5.054971107916307	4.0	2.0	2.0	1.0	0	0	0	0	0	10.9681917	106.7972264	21.806869259952634	3
1636	1	0.9555114450274363	4.1588830833596715	4.852030263919617	10.0	5.0	5.0	2.0	0	0	1	1	2	10.9783158	106.7293611	19.607635033023044	2
1637	1	0.6418538861723947	3.4657359027997265	4.1588830833596715	4.0	2.0	2.0	2.0	0	0	1	0	1	10.7917955	106.6798588	1.8503852357863801	2
1638	3	1.7227665977411035	3.7612001156935624	5.147494476813453	8.0	4.0	4.0	4.0	0	0	1	1	2	21.0018884	105.8064327	2.143277350437184	3
1639	1	1.589235205116581	3.58351893845611	4.746669748261791	8.0	4.0	4.0	3.0	0	0	0	0	0	10.7955541	106.6755032	1.5673632030602886	2
1640	1	1.6094379124341003	4.0943445622221	5.318119993844216	7.0	3.0	4.0	3.0	0	0	0	1	1	10.8414688	106.733139	6.73477590970975	3
1641	1	2.0541237336955462	4.430816798843313	5.529429087511423	8.0	4.0	4.0	3.0	1	0	0	1	2	10.8404825	106.7538624	8.672471349446983	3
1642	3	2.91235066461494	4.564348191467836	6.173786103901937	9.0	4.0	5.0	5.0	1	0	0	1	2	21.0570822	105.9026394	10.185845994325554	3
