ID	Log price (1 billion VND)	Log area (square meters)	(Log) Bedrooms	(Log) WC	Parking	For rent	Infrastructure	Facade	(Log) Number of floors	Latitude	Longitude	Cluster	Distance_to_center_0	Distance_to_center_1
2238	2.3513752571634776	4.127134385045092	1.791759469228055	1.3862943611198906	0	0	1	0	1.3862943611198906	21.0226244	105.8096806	0	91.27321817422015	1135.1453636797166
1267	2.3978952727983707	4.0943445622221	1.7227665977411035	1.791759469228055	0	0	1	0	1.9459101490553132	21.0431373	105.8025354	0	93.64226233521461	1137.4847468836535
636	1.410986973710262	3.7612001156935624	1.3862943611198906	1.0986122886681098	1	0	1	0	1.0986122886681098	21.0896763	105.8043035	0	98.20708385527203	1142.6209816275145
2105	1.2237754316221157	4.1588830833596715	1.0986122886681098	0.6931471805599453	0	0	1	0	0.3364722366212129	10.8075999	106.5885983	1	1055.3461554553692	19.054210229429515
465	1.252762968495368	4.127134385045092	1.0986122886681098	1.0986122886681098	1	0	1	0	1.0986122886681098	20.8228065	106.6740033	0	76.41838223878084	1108.4543143837197
165	1.791759469228055	5.293304824724492	1.6094379124341003	1.6094379124341003	0	0	1	1	1.5260563034950492	21.0681248	105.8226344	0	95.2288395204087	1140.0619351465011
937	3.4339872044851463	6.214608098422191	1.0986122886681098	1.3862943611198906	0	0	0	1	1.0986122886681098	10.7882852	106.7962681	1	1058.5795000476305	8.56108298988063
1433	0.9477893989335261	4.174387269895637	1.0986122886681098	0.6931471805599453	1	0	1	0	0.6931471805599453	10.7603884	106.7120744	1	1061.1807900764838	11.536232133018714
2187	2.288486168614544	4.442651256490317	1.3862943611198906	1.0986122886681098	0	0	1	1	1.33500106673234	20.963534	105.762445	0	87.96838669894703	1129.0653615886968
1739	1.6486586255873816	4.672828834461906	1.3862943611198906	1.3862943611198906	0	0	1	1	0.6931471805599453	10.8637527	106.7911698	1	1050.1697058444975	3.933713734295755
1900	1.599387576580599	4.174387269895637	0.6931471805599453	0.0	0	0	1	1	0.0	20.8383131	106.6871216	0	78.61610488712905	1110.1682952161052
969	2.0149030205422647	4.90527477843843	1.3862943611198906	1.3862943611198906	0	0	1	1	1.0986122886681098	21.0513625	106.1726875	0	84.575516538395	1135.5440836752364
2743	1.599387576580599	3.8066624897703196	1.3862943611198906	1.3862943611198906	0	0	1	0	1.3862943611198906	21.0021784	105.846738	0	87.52956395035949	1132.5353908114962
489	2.624668592163159	3.9318256327243257	1.791759469228055	1.6094379124341003	1	0	0	0	1.6094379124341003	21.0115174	105.816702	0	89.84179400682278	1133.848957825754
601	1.7404661748405046	3.9318256327243257	0.6931471805599453	0.6931471805599453	1	0	1	0	0.6931471805599453	10.7808805	106.6500274	1	1058.5880140084269	14.21502284450806
1849	2.6026896854443837	4.276666119016055	1.791759469228055	1.791759469228055	1	0	0	0	1.6094379124341003	10.7958672	106.6327377	1	1056.8421098840572	14.998807277530307
2654	1.682688374173693	4.356708826689592	1.0986122886681098	1.3862943611198906	0	0	1	0	0.6931471805599453	10.812176	106.771967	1	1055.7758557175835	5.011301006670563
2738	1.7578579175523736	4.3694478524670215	1.3862943611198906	1.6094379124341003	1	0	1	0	1.0986122886681098	10.7486693	106.7142292	1	1062.494002418036	12.64330490161095
533	1.545432582458188	3.58351893845611	1.0986122886681098	1.3862943611198906	0	0	1	0	1.6094379124341003	21.0115664	105.859743	0	87.90557797538813	1133.457151520815
1911	1.1939224684724346	4.718498871295094	1.0986122886681098	0.6931471805599453	0	0	1	1	0.6931471805599453	12.2670513	109.1613647	1	946.2012629598005	305.4607567875741
282	1.7047480922384253	3.2188758248682006	1.0986122886681098	1.3862943611198906	0	1	1	0	1.3862943611198906	10.7668412	106.6942986	1	1060.3692378743808	11.87993088697491
1354	1.8325814637483102	3.871201010907891	1.3862943611198906	1.3862943611198906	0	0	0	0	1.0986122886681098	10.7939371	106.6782585	1	1057.2768329162207	10.87446226603516
2860	1.0986122886681098	3.8501476017100584	1.3862943611198906	1.0986122886681098	0	0	1	1	1.3862943611198906	20.8778036	106.6343056	0	78.83818817459455	1114.6110412202036
1612	0.9932517730102834	4.5217885770490405	0.6931471805599453	0.0	0	0	0	0	0.7884573603642703	11.0044965	106.6528424	1	1033.7611329683773	20.142848238891354
923	0.9745596399981308	4.219507705176107	1.0986122886681098	1.0986122886681098	0	0	1	1	1.0986122886681098	10.9771191	106.7289968	1	1037.207445079419	13.951604518544432
2521	3.4339872044851463	5.278114659230517	1.3862943611198906	1.3862943611198906	0	0	0	1	1.3862943611198906	10.6952642	106.704874	1	1068.3748004395497	18.585669754076577
699	1.0296194171811581	3.5553480614894135	1.0986122886681098	0.6931471805599453	0	1	0	0	0.7884573603642703	20.9724114	105.7615252	0	88.85780489168965	1130.0570940213208
2591	1.8870696490323797	3.828641396489095	1.3862943611198906	1.3862943611198906	1	0	1	0	0.1823215567939546	21.0226765	105.793585	0	92.0516709766811	1135.3053775770984
2834	1.252762968495368	3.5263605246161616	1.0986122886681098	1.3862943611198906	1	0	1	1	1.6094379124341003	21.0169547	105.8324708	0	89.65270537188142	1134.3034570035013
1108	0.6312717768418578	3.58351893845611	0.0	0.0	0	0	1	1	0.0	21.0243168	105.6988892	0	97.21530841160387	1136.4464727222962
2765	2.066862759472976	4.74493212836325	1.3862943611198906	1.3862943611198906	1	0	0	0	0.47000362924573563	10.8661894	106.6844705	1	1049.2835420384947	7.958871380220047
2811	2.995732273553991	4.804021044733257	1.3862943611198906	1.3862943611198906	1	0	0	0	1.3862943611198906	21.0621491	105.9104849	0	91.12715655020959	1138.6183144074837
584	1.7047480922384253	3.828641396489095	1.0986122886681098	0.6931471805599453	1	0	1	1	0.6931471805599453	10.8030442	106.6935914	1	1056.344581932406	8.935932062259205
16	1.5040773967762742	3.8501476017100584	1.3862943611198906	1.3862943611198906	0	0	1	0	1.6094379124341003	20.9969246	105.8246143	0	88.02312482619314	1132.1585264017917
648	1.410986973710262	4.248495242049359	1.0986122886681098	1.0986122886681098	1	0	1	0	1.0986122886681098	16.0730763	108.1893107	0	513.603876474992	600.5898241283951
1985	0.5596157879354227	2.4849066497880004	1.6094379124341003	1.6094379124341003	0	0	1	0	1.6094379124341003	21.026233	105.8335492	0	90.53320966550582	1135.3210355509823
288	1.7749523509116738	3.871201010907891	1.791759469228055	1.791759469228055	0	0	1	0	1.6094379124341003	10.7879391	106.6612988	1	1057.858417515548	12.756723314783498
1288	2.803360380906535	4.0943445622221	2.302585092994046	2.302585092994046	0	0	1	0	1.6094379124341003	10.7866357	106.7015422	1	1058.2090755118534	9.640070271482928
444	2.70805020110221	4.477336814478207	1.791759469228055	1.6094379124341003	1	0	1	1	1.6094379124341003	21.0144475	105.7778288	0	92.03194387286332	1134.5479513072044
697	1.2947271675944	4.406719247264253	0.6931471805599453	0.6931471805599453	0	0	1	0	0.6931471805599453	10.9271179	106.8671866	1	1043.6530491692215	14.541846100237876
2104	1.6094379124341003	4.5217885770490405	1.3862943611198906	1.3862943611198906	0	0	0	0	0.6931471805599453	10.8409534	106.79719	1	1052.7389245728464	4.706361333191997
1818	1.091923300517313	3.7376696182833684	1.3862943611198906	1.3862943611198906	0	0	1	0	0.6931471805599453	10.750607	106.6882286	1	1062.1407407905315	13.749258446807326
2449	1.0986122886681098	3.58351893845611	0.6931471805599453	0.6931471805599453	0	0	1	0	0.6931471805599453	10.6782793	106.7537238	1	1070.5333647558357	19.60427751046899
391	1.5260563034950492	4.442651256490317	1.9459101490553132	1.9459101490553132	0	0	1	0	1.0986122886681098	10.7571056	106.7382072	1	1061.6909497426345	11.017382463272742
97	2.3978952727983707	3.912023005428146	1.3862943611198906	1.6094379124341003	1	0	0	1	1.6094379124341003	21.0110528	105.8127301	0	89.98413764999421	1133.8351014221416
2218	1.6094379124341003	4.553876891600541	0.6931471805599453	1.0986122886681098	0	0	0	0	0.6931471805599453	16.0732782	108.2468342	0	516.0877247866977	602.2450260478483
686	1.7404661748405046	4.605170185988092	1.6094379124341003	1.3862943611198906	0	0	0	1	1.0986122886681098	10.9576308	106.7997581	1	1039.804200979435	12.400361794395977
2614	2.0541237336955462	4.48863636973214	1.0986122886681098	1.0986122886681098	0	0	1	1	0.6931471805599453	10.7588676	106.6343553	1	1060.9600745490006	17.055146951858553
2729	2.624668592163159	3.9512437185814275	1.3862943611198906	1.3862943611198906	1	0	1	0	0.0	21.0189444	105.7925808	0	91.73482801889833	1134.901901980045
1762	1.589235205116581	3.912023005428146	0.6931471805599453	0.6931471805599453	1	0	0	0	0.6931471805599453	10.815315	106.707746	1	1055.05728021897	6.8749172904004885
397	2.5257286443082556	3.8918202981106265	1.3862943611198906	1.0986122886681098	0	0	1	0	1.33500106673234	10.7933113	106.6434327	1	1057.1758046351474	14.091591788489163
473	2.70805020110221	3.9318256327243257	1.0986122886681098	1.3862943611198906	0	0	0	0	1.0986122886681098	21.0153717	105.8128851	0	90.403809338763	1134.3118648102454
963	2.803360380906535	4.060443010546419	1.791759469228055	1.3862943611198906	1	1	1	1	1.2237754316221157	10.8480244	106.7482326	1	1051.6535140448755	1.1495291701651356
2148	1.8562979903656263	3.7376696182833684	1.3862943611198906	1.2809338454620642	0	0	0	1	1.6094379124341003	20.9936344	105.8139413	0	88.20878788356609	1131.8948754189146
1948	1.5040773967762742	5.0106352940962555	0.6931471805599453	0.6931471805599453	0	0	1	0	1.1631508098056809	11.1192402	106.6417219	1	1020.9606780598136	31.981433322077827
461	1.3737155789130306	4.465908118654584	1.0986122886681098	0.6931471805599453	1	0	0	0	0.5877866649021191	10.9816909	106.8474631	1	1037.4571058993176	17.283142543924306
739	1.0647107369924282	3.5553480614894135	1.3862943611198906	1.3862943611198906	1	0	1	0	1.3862943611198906	20.9620483	105.8399221	0	83.8472232825628	1128.1534484737206
1812	2.1400661634962708	3.7376696182833684	1.0986122886681098	1.3862943611198906	1	0	1	1	1.5260563034950492	21.0713815	105.7953956	0	96.78150683726246	1140.6803300556828
694	1.0116009116784799	4.248495242049359	1.0986122886681098	1.0986122886681098	1	0	1	0	0.7884573603642703	16.4693143	107.5585723	0	448.23932064186897	630.3146959860906
1318	0.3364722366212129	4.499809670330265	0.6931471805599453	0.6931471805599453	0	0	1	0	0.0	9.8935927	105.7597576	1	1157.1951720875786	152.6453142942586
2089	0.9282193027394288	4.127134385045092	0.6931471805599453	1.0986122886681098	0	0	1	0	0.6931471805599453	10.977638	106.7409039	1	1037.218943402919	13.789067987924165
275	1.9459101490553132	4.465908118654584	1.3862943611198906	1.6094379124341003	1	1	1	0	1.4350845252893227	10.757324	106.7136005	1	1061.5294147145466	11.779302502959899
2120	2.2192034840549946	4.248495242049359	1.3862943611198906	1.3862943611198906	0	0	0	0	1.0986122886681098	16.0481266	108.2451784	0	518.5644011698226	599.5050616769346
1989	1.252762968495368	3.6109179126442243	1.0986122886681098	0.6931471805599453	0	0	1	1	1.0986122886681098	20.8629685	106.6864053	0	80.70670454454539	1112.9103013230006
1163	1.9095425048844386	4.90527477843843	1.0986122886681098	1.3862943611198906	0	0	1	0	1.0986122886681098	10.781332	106.6551313	1	1058.5623654292956	13.733410083548033
994	1.547562508716013	4.553876891600541	1.0986122886681098	1.0986122886681098	1	0	0	1	0.6931471805599453	16.472798	107.5751913	0	448.43224059415326	630.9473392804605
1452	1.8562979903656263	3.8918202981106265	1.0986122886681098	1.0986122886681098	1	0	1	0	0.6931471805599453	10.8002545	106.6774948	1	1056.5712483740435	10.521634144328292
508	2.1400661634962708	3.5553480614894135	1.0986122886681098	1.0986122886681098	1	0	1	0	1.6094379124341003	21.0416528	105.7859318	0	94.28790687678877	1137.4804016511544
2807	1.208960345836975	3.6888794541139363	0.6931471805599453	0.6931471805599453	0	0	1	1	0.6931471805599453	10.7636797	106.6172149	1	1060.348254861218	18.253288043958904
1422	0.5877866649021191	3.4657359027997265	0.6931471805599453	0.6931471805599453	0	0	1	0	0.6931471805599453	10.7383744	106.6586009	1	1063.3511377360244	16.76294367472542
