ID	Log price (1 billion VND)	Log area (square meters)	(Log) Bedrooms	(Log) WC	Parking	For rent	Infrastructure	Facade	(Log) Number of floors	Latitude	Longitude	Cluster	Distance to center 0	Distance to center 1
4920	2.2512917986064953	5.726847747587197	1.3862943611198906	1.3862943611198906	0	1	1	1	1.4350845252893227	10.956768	106.8611827	0	12.264759510751711	1106.640801803365
4921	1.7047480922384253	4.356708826689592	0.0	0.6931471805599453	1	0	1	0	0.0	21.0618911	105.9085656	1	1121.79880002067	21.58826150929077
4922	1.62924053973028	4.127134385045092	1.3862943611198906	1.3862943611198906	1	0	1	0	1.3862943611198906	10.8000621	106.6009947	0	28.844054158675323	1121.8729962720797
4923	2.5649493574615367	4.343805421853684	1.3862943611198906	1.6094379124341003	0	0	0	1	1.6094379124341003	10.7423644	106.6299904	0	32.66851292089671	1128.4780556800933
4924	2.3978952727983707	3.58351893845611	1.3862943611198906	1.33500106673234	1	0	0	0	1.3862943611198906	20.9887356	105.8187558	1	1114.5165471568107	17.4530560280312
4925	1.5040773967762742	3.784189633918261	1.0986122886681098	0.6931471805599453	0	0	0	1	1.0986122886681098	10.8414544	106.6624967	0	21.269546176951312	1117.7219971138916
4926	1.9315214116032138	4.553876891600541	1.0986122886681098	0.6931471805599453	0	0	1	0	0.6931471805599453	10.8195857	106.6858909	0	22.343191515968034	1120.3259870098743
4927	2.3702437414678603	4.110873864173311	1.9459101490553132	1.9459101490553132	0	0	0	1	1.3862943611198906	10.798622	106.700069	0	24.05422831442484	1122.7615944232368
4928	2.8903717578961645	4.477336814478207	1.3862943611198906	1.3862943611198906	0	0	0	0	0.6931471805599453	10.7629426	106.6867982	0	28.26918055960746	1126.6156973861578
4929	1.7578579175523736	4.248495242049359	1.6094379124341003	1.6094379124341003	0	0	0	0	1.0986122886681098	10.8327364	106.6724769	0	21.60313672633275	1118.764473154049
4930	0.9162907318741551	3.784189633918261	1.0986122886681098	0.6931471805599453	0	0	0	0	0.6931471805599453	10.8494094	106.7537055	0	17.489061538795934	1117.5670299356166
4931	1.5260563034950492	4.0943445622221	1.3862943611198906	1.3862943611198906	0	0	1	0	1.0986122886681098	10.8276269	106.8058383	0	20.489289429437356	1120.4346964653269
4932	1.7578579175523736	4.382026634673881	1.3862943611198906	1.3862943611198906	0	0	1	0	0.0	16.480974	107.609037	1	615.57912998529	519.0380812923966
4933	1.7227665977411035	3.5263605246161616	1.3862943611198906	1.3862943611198906	0	0	1	1	1.6094379124341003	21.0129017	105.8355017	1	1117.0327460236717	18.646204525216728
4934	1.6034198401085373	3.7612001156935624	1.791759469228055	1.791759469228055	1	1	1	0	1.0986122886681098	10.8195857	106.6858909	0	22.343191515968034	1120.3259870098743
4935	2.5257286443082556	5.19295685089021	3.1780538303479458	3.1780538303479458	1	1	1	0	2.0794415416798357	10.8014434	106.6109261	0	28.07590173437342	1121.7882995145656
4936	1.3862943611198906	3.6888794541139363	1.3862943611198906	1.0986122886681098	1	0	0	0	1.0986122886681098	10.7766943	106.6341303	0	29.06542007249024	1124.6984788154466
4937	2.653241964607215	4.430816798843313	1.3862943611198906	1.3862943611198906	0	0	1	0	1.6094379124341003	20.8423179	106.6911686	1	1093.7162530578928	79.48264894154849
4938	0.6151856390902335	2.6390573296152584	0.6931471805599453	1.0986122886681098	0	0	0	0	1.0986122886681098	10.8182176	106.6787562	0	22.780141584730355	1120.4228536576952
4939	2.5937610547000824	4.189654742026425	1.6094379124341003	1.3862943611198906	0	0	1	1	1.6094379124341003	10.8230989	106.6296638	0	24.927643318350512	1119.5176225569885
