ID	Log price (1 billion VND)	Log area (square meters)	Bedrooms	WC	Parking	For rent	Infrastructure	Facade	Number of floors	Log usable area (square meters)	Latitude	Longitude	Cluster	Distance to center 0	Distance to center 1
633	1.3987168811184478	3.6888794541139363	2.0	2.0	0	0	1	0	2.0	4.382026634673881	10.8129558	106.6787033	1	1055.1666121386527	9.663393398030237
634	1.410986973710262	3.5553480614894135	3.0	4.0	0	0	1	0	5.0	5.1647859739235145	21.0218044	105.790872	0	92.09891457150628	1135.235080739667
635	1.9459101490553132	5.8522024797744745	5.0	6.0	0	0	1	1	4.0	7.238496840894365	10.7590489	106.5884939	1	1060.7405329266342	21.19120566161601
636	1.410986973710262	3.7612001156935624	4.0	3.0	1	0	1	0	3.0	4.859812404361672	21.0896763	105.8043035	0	98.20708385527203	1142.6209816275145
637	0.7178397931503168	4.0943445622221	3.0	3.0	1	0	1	0	3.0	5.19295685089021	20.8504597	106.6068802	0	74.72353665052103	1111.6089664878293
638	1.9878743481543455	3.828641396489095	3.0	5.0	0	0	1	0	2.2	4.617098756853365	10.8090541	106.6856818	1	1055.6358278129715	9.232224426270955
639	1.7404661748405046	3.258096538021482	4.0	4.0	0	1	1	0	2.8	4.28771595520264	10.8169494	106.6840985	1	1054.7507115302515	8.934080823655473
640	1.4701758451005926	3.6888794541139363	4.0	3.0	0	0	1	1	4.0	5.075173815233827	20.9674043	105.8221695	0	85.23252511409298	1128.9125074890896
641	1.5040773967762742	3.6888794541139363	2.0	2.0	0	0	1	0	1.0	3.6888794541139363	10.7567624	106.6360506	1	1061.201758660731	17.059141970696302
642	2.1471001901536506	4.07753744390572	3.0	3.0	0	0	0	1	1.0	4.07753744390572	21.0106758	105.7995616	0	90.58229398798564	1133.919114665089
643	1.824549292051046	3.7376696182833684	3.0	3.0	0	0	1	0	2.0	4.430816798843313	10.7595453	106.6802536	1	1061.1070319406376	13.44534726446051
644	2.0541237336955462	4.02535169073515	5.0	5.0	1	1	1	0	4.0	5.4116460518550396	10.7544029	106.6518695	1	1061.538176493346	15.94861670520273
645	1.0986122886681098	4.1588830833596715	3.0	2.0	1	0	1	0	2.0	4.852030263919617	16.0814995	108.2419239	0	515.0385713362172	602.9835670684693
646	2.6741486494265287	5.043425116919247	4.0	5.0	0	0	1	1	1.0	5.043425116919247	20.8291763	106.6575997	0	75.90274200403903	1109.177862494525
647	1.5260563034950492	3.4965075614664802	4.0	4.0	1	0	1	1	4.0	4.882801922586371	21.088098	105.8099499	0	97.79820144157891	1142.3927785615829
648	1.410986973710262	4.248495242049359	3.0	3.0	1	0	1	0	3.0	5.3471075307174685	16.0730763	108.1893107	0	513.603876474992	600.5898241283951
649	2.468099531471619	6.684611727667927	2.0	1.0	1	0	1	0	1.0	6.684611727667927	10.9052266	106.599613	1	1044.5448791641604	18.021883479762916
650	2.5257286443082556	3.912023005428146	6.0	7.0	0	0	1	1	5.0	5.521460917862246	10.8084065	106.6736384	1	1055.6462406343046	10.39283046842515
651	0.8109302162163288	3.871201010907891	2.0	2.0	0	0	1	1	2.0	4.564348191467836	10.7174635	106.629336	1	1065.537117945377	20.61545308549062
652	0.7654678421395714	3.871201010907891	2.0	3.0	0	0	1	0	2.0	4.564348191467836	10.7627225	106.6108372	1	1060.4266853898707	18.894652666731606
653	0.8109302162163288	3.871201010907891	2.0	2.0	0	0	1	1	2.6	4.826712455935327	10.7667203	106.6133357	1	1059.9933907349332	18.426090725339076
654	0.09531017980432493	3.6888794541139363	1.0	1.0	1	0	1	1	1.2	3.871201010907891	10.8635106	106.7874953	1	1050.1733278575875	3.5400863893321834
655	1.1939224684724346	3.8066624897703196	3.0	3.0	1	0	1	0	2.4	4.68213122712422	20.9411526	105.8520365	0	81.20557554208249	1125.727544323704
656	0.7654678421395714	4.189654742026425	3.0	3.0	1	0	1	1	2.6	5.145166187053862	20.8499379	106.6085003	0	74.76913520142523	1111.5484793337648
657	1.5789787049493917	3.5553480614894135	6.0	3.0	0	0	0	0	3.0	4.653960350157523	10.7971065	106.7106694	1	1057.0953386218523	8.108558336444998
658	1.6486586255873816	3.58351893845611	4.0	3.0	1	0	1	0	4.0	4.969813299576001	21.0042752	105.8215758	0	88.89455250608057	1133.0010594707924
659	1.3029127521808397	3.332204510175204	3.0	3.0	1	0	1	0	4.0	4.718498871295094	21.0138188	105.8241461	0	89.72192103383838	1134.0337929372297
